indicator,type,family,reference,description
lookup[.]hazelshelf[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
admin9[.]planden35[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
job[.]coast-space[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
upload[.]frame-quest[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
guard[.]warm-climate[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
board8[.]creekpath[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
cache[.]coastpilot[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
edge[.]ivorytexture[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
hw[.]hexatecha[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
ping[.]node-stock[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
ping0[.]aqua-grid77[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
serve0[.]omega-fabric41[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
sync[.]northform[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
trace[.]novagarden[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
fixmyjourney[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
grab-offers[.]fixmyjourney[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
cpcontacts[.]fixmyjourney[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
easypay4u-net[.]fixmyjourney[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
cheapestflighttickets-co[.]fixmyjourney[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
autodiscover[.]fixmyjourney[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
webdisk[.]fixmyjourney[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
abue[.]ypaaumpkif[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
auth[.]commonup[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot; Resolved to 104.143.36.164
beta[.]local-screen[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
beta[.]smartcore[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
build0[.]coreworks72[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
build7[.]mint-forge[.]sbs,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
cdn[.]deltapress[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
content[.]lakepeak[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
cron6[.]health-ly[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
dash[.]craftlayer[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
dash[.]scout-lens34[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
deploy[.]coast-weave[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
deploy[.]covespace[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
dns[.]jadedock43[.]monster,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
docs[.]procrew95[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
edge[.]amberreport[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot; Resolved to 104.143.36.164
edge[.]kitchencraft[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
event[.]amberbox[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
event[.]wanderwest[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
fantom-mainnet[.]xdefiservices[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
health[.]duskpoint27[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
health[.]hazelkit[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
index[.]gentle-weekly[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
index[.]ridgefield[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
lab6[.]skyquest[.]sbs,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
link9[.]prime-track[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
live[.]zen-bridge[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
live0[.]bitstage16[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
metric[.]cdnfair[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
metric[.]mentorcreek25[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
metric[.]mintweekly[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
metric3[.]viberun[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
monitor9[.]easttrail5[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
msgbe[.]nuxbzyyzse[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
node[.]gentleroom[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
node[.]rubystore[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot; Resolved to 104.143.36.164
polygon[.]qbetfhwz[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
polygon[.]sqhmsosbk[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
portal[.]wellness-canvas[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
prod[.]peakyard[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
proxy[.]everatlas[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
proxy[.]oneterrace[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
public[.]1rpc[.]io,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
pull[.]myview80[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
pull[.]valley-screen[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot; Resolved to 104.143.36.164
pull2[.]prime-grid[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
push[.]shorecourt[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
push[.]widedisplay[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
registry[.]amberscreen[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
rpc-proxy[.]xdefi[.]services,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
scheduler2[.]travel-scope[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
stage[.]vibedisplay32[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
static4[.]livelab[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
store[.]framecove[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
store[.]purestack[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
store[.]titanboard[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
store0[.]renderring[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
task[.]nextland18[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
task[.]valley-north[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
trace[.]eastbox[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
upload[.]frost-ai[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,VirusTotal relations pivot
